Time Scale; Number of Packets; Total data (b); 
1.000000; 2300; 1733447; 
2.000000; 2089; 1580697; 
3.000000; 1865; 1397143; 
4.000000; 2387; 1789720; 
5.000000; 1805; 1355954; 
6.000000; 1807; 1348556; 
7.000000; 2001; 1498776; 
8.000000; 2368; 1767250; 
9.000000; 1887; 1406737; 
10.000000; 2946; 2203486; 
11.000000; 2233; 1681800; 
12.000000; 2698; 2027616; 
13.000000; 2299; 1716447; 
14.000000; 2410; 1798349; 
15.000000; 2054; 1547282; 
16.000000; 2306; 1728846; 
17.000000; 2813; 2107713; 
18.000000; 2954; 2216965; 
19.000000; 2931; 2209589; 
20.000000; 2454; 1837655; 
21.000000; 2869; 2154792; 
22.000000; 2141; 1607652; 
23.000000; 2134; 1600206; 
24.000000; 1989; 1493473; 
25.000000; 2423; 1818031; 
26.000000; 2576; 1930071; 
27.000000; 2582; 1929875; 
28.000000; 2477; 1862239; 
29.000000; 2589; 1951196; 
30.000000; 2676; 2006758; 
31.000000; 2508; 1886466; 
32.000000; 2406; 1803252; 
33.000000; 2906; 2173558; 
34.000000; 2688; 2013446; 
35.000000; 2266; 1693711; 
36.000000; 2794; 2090322; 
37.000000; 2857; 2137852; 
38.000000; 2251; 1682425; 
39.000000; 2443; 1824099; 
40.000000; 2053; 1537979; 
41.000000; 2160; 1622496; 
42.000000; 2835; 2116479; 
43.000000; 2341; 1766491; 
44.000000; 2452; 1828888; 
45.000000; 2482; 1854324; 
46.000000; 2116; 1602784; 
47.000000; 2756; 2075312; 
48.000000; 2357; 1766903; 
49.000000; 2619; 1956599; 
50.000000; 1894; 1413362; 
51.000000; 2740; 2051135; 
52.000000; 2901; 2175130; 
53.000000; 2568; 1921479; 
54.000000; 2439; 1826226; 
55.000000; 2378; 1797715; 
56.000000; 2631; 1981006; 
57.000000; 2946; 2220930; 
58.000000; 2384; 1781983; 
59.000000; 2046; 1526667; 
60.000000; 2375; 1767893; 
61.000000; 2745; 2065643; 
62.000000; 2000; 1506566; 
63.000000; 2803; 2090454; 
64.000000; 2816; 2122723; 
65.000000; 2623; 1961467; 
66.000000; 2430; 1832245; 
67.000000; 2802; 2094765; 
68.000000; 2354; 1778070; 
69.000000; 2172; 1632770; 
70.000000; 2691; 2010610; 
71.000000; 1874; 1404012; 
72.000000; 2689; 2022076; 
73.000000; 1949; 1455392; 
74.000000; 1947; 1459540; 
75.000000; 2784; 2083721; 
76.000000; 2080; 1554911; 
77.000000; 2106; 1593273; 
78.000000; 2884; 2161853; 
79.000000; 2232; 1665091; 
80.000000; 2279; 1706133; 
81.000000; 2620; 1966499; 
82.000000; 1979; 1475582; 
83.000000; 2871; 2153503; 
84.000000; 2660; 1995027; 
85.000000; 2735; 2047220; 
86.000000; 2639; 1973821; 
87.000000; 2519; 1893644; 
88.000000; 2935; 2198062; 
89.000000; 2225; 1667019; 
90.000000; 2490; 1851753; 
91.000000; 2265; 1694317; 
92.000000; 2597; 1941885; 
93.000000; 2339; 1731647; 
94.000000; 2194; 1648543; 
95.000000; 2222; 1666480; 
96.000000; 2488; 1872699; 
97.000000; 2341; 1753833; 
98.000000; 2026; 1529868; 
99.000000; 2036; 1532801; 
100.000000; 2361; 1769881; 
101.000000; 2459; 1849548; 
102.000000; 2515; 1885325; 
103.000000; 2638; 1971952; 
104.000000; 2430; 1826639; 
105.000000; 2889; 2175648; 
106.000000; 2501; 1873402; 
107.000000; 1962; 1470611; 
108.000000; 2911; 2169059; 
109.000000; 2295; 1728166; 
110.000000; 2822; 2116470; 
111.000000; 2720; 2037705; 
112.000000; 2340; 1758983; 
113.000000; 1873; 1398845; 
114.000000; 1863; 1404675; 
115.000000; 2295; 1718588; 
116.000000; 2466; 1843287; 
117.000000; 2404; 1802646; 
118.000000; 2242; 1687146; 
119.000000; 2396; 1796033; 
120.000000; 1881; 1416491; 
121.000000; 2672; 2005478; 
122.000000; 1832; 1363004; 
123.000000; 2230; 1687400; 
124.000000; 2560; 1915536; 
125.000000; 2873; 2157244; 
126.000000; 1894; 1421733; 
127.000000; 2404; 1802887; 
128.000000; 2914; 2190726; 
129.000000; 2363; 1776381; 
130.000000; 2843; 2129846; 
131.000000; 2710; 2028209; 
132.000000; 2545; 1898825; 
133.000000; 1877; 1417236; 
134.000000; 2560; 1920772; 
135.000000; 2996; 2250641; 
136.000000; 2677; 2007482; 
137.000000; 2753; 2065297; 
138.000000; 2044; 1525413; 
139.000000; 2187; 1626393; 
140.000000; 2941; 2196559; 
141.000000; 2650; 1990158; 
142.000000; 2282; 1705309; 
143.000000; 2682; 2013638; 
144.000000; 2032; 1517868; 
145.000000; 2350; 1752511; 
146.000000; 2931; 2202232; 
147.000000; 2444; 1825670; 
148.000000; 2808; 2094489; 
149.000000; 2530; 1890039; 
150.000000; 2421; 1816486; 
151.000000; 2769; 2071108; 
152.000000; 2142; 1614413; 
153.000000; 2846; 2136881; 
154.000000; 1988; 1486164; 
155.000000; 2941; 2186157; 
156.000000; 2465; 1851660; 
157.000000; 1923; 1440771; 
158.000000; 2702; 2017934; 
159.000000; 2014; 1509865; 
160.000000; 2387; 1777865; 
161.000000; 2937; 2200366; 
162.000000; 2899; 2172771; 
163.000000; 2340; 1765305; 
164.000000; 1860; 1385558; 
165.000000; 2027; 1521249; 
166.000000; 2757; 2085199; 
167.000000; 1865; 1409969; 
168.000000; 2352; 1774834; 
169.000000; 2185; 1645068; 
170.000000; 2207; 1660048; 
171.000000; 2373; 1782301; 
172.000000; 2655; 2001655; 
173.000000; 2132; 1593632; 
174.000000; 1891; 1412337; 
175.000000; 1802; 1349986; 
176.000000; 2961; 2212767; 
177.000000; 2939; 2202531; 
178.000000; 2346; 1751696; 
179.000000; 2673; 1998031; 
180.000000; 2406; 1793585; 
181.000000; 2985; 2233599; 
182.000000; 2026; 1521532; 
183.000000; 2044; 1520319; 
184.000000; 2572; 1949986; 
185.000000; 2803; 2102171; 
186.000000; 2520; 1901085; 
187.000000; 2758; 2076360; 
188.000000; 2930; 2184691; 
189.000000; 2309; 1731280; 
190.000000; 1983; 1496161; 
191.000000; 2876; 2138934; 
192.000000; 2485; 1853136; 
193.000000; 2006; 1512294; 
194.000000; 2268; 1690326; 
195.000000; 2714; 2042517; 
196.000000; 2532; 1891416; 
197.000000; 2944; 2204315; 
198.000000; 2811; 2094165; 
199.000000; 2942; 2192611; 
200.000000; 2554; 1919092; 
201.000000; 1948; 1464521; 
202.000000; 2387; 1784315; 
203.000000; 2351; 1760195; 
204.000000; 2174; 1617084; 
205.000000; 2117; 1600996; 
206.000000; 2596; 1935903; 
207.000000; 2946; 2216687; 
208.000000; 2863; 2145212; 
209.000000; 2509; 1874643; 
210.000000; 2844; 2132226; 
211.000000; 2667; 1996448; 
212.000000; 2873; 2153557; 
213.000000; 2580; 1924856; 
214.000000; 2469; 1849720; 
215.000000; 2156; 1616218; 
216.000000; 2146; 1611134; 
217.000000; 2687; 2008238; 
218.000000; 2430; 1828698; 
219.000000; 2835; 2118913; 
220.000000; 1828; 1390126; 
221.000000; 2982; 2241547; 
222.000000; 2146; 1598088; 
223.000000; 2308; 1722324; 
224.000000; 2127; 1590374; 
225.000000; 2802; 2101962; 
226.000000; 2191; 1638906; 
227.000000; 1982; 1487275; 
228.000000; 2850; 2139889; 
229.000000; 2180; 1635775; 
230.000000; 2892; 2161838; 
231.000000; 1875; 1407065; 
232.000000; 1804; 1350221; 
233.000000; 2544; 1901686; 
234.000000; 2160; 1621343; 
235.000000; 2891; 2162363; 
236.000000; 2036; 1535256; 
237.000000; 2388; 1775134; 
238.000000; 2332; 1734894; 
239.000000; 2666; 1999581; 
240.000000; 2360; 1772012; 
241.000000; 2692; 2012308; 
242.000000; 1966; 1470053; 
243.000000; 2665; 2006281; 
244.000000; 2867; 2154332; 
245.000000; 2043; 1528388; 
246.000000; 2442; 1821978; 
247.000000; 2642; 1970966; 
248.000000; 2409; 1810090; 
249.000000; 2535; 1887837; 
250.000000; 2453; 1836023; 
251.000000; 2256; 1690247; 
252.000000; 2929; 2199037; 
253.000000; 1891; 1415182; 
254.000000; 2168; 1623529; 
255.000000; 2986; 2239193; 
256.000000; 2217; 1670312; 
257.000000; 2091; 1544034; 
258.000000; 2227; 1667001; 
259.000000; 2993; 2236393; 
260.000000; 2584; 1937624; 
261.000000; 2099; 1564031; 
262.000000; 2019; 1518447; 
263.000000; 2304; 1736530; 
264.000000; 2343; 1751452; 
265.000000; 2661; 1983265; 
266.000000; 2482; 1851830; 
267.000000; 2766; 2074113; 
268.000000; 1875; 1402340; 
269.000000; 2939; 2195111; 
270.000000; 2072; 1563754; 
271.000000; 2356; 1768888; 
272.000000; 2164; 1621177; 
273.000000; 2010; 1511444; 
274.000000; 2613; 1972714; 
275.000000; 2428; 1831968; 
276.000000; 2018; 1522510; 
277.000000; 2719; 2029881; 
278.000000; 1864; 1388625; 
279.000000; 2706; 2039900; 
280.000000; 2648; 1983908; 
281.000000; 2143; 1607860; 
282.000000; 2868; 2147268; 
283.000000; 2648; 1977491; 
284.000000; 1818; 1360102; 
